#33 MTC->NYC Weekdays
MTC	NYC
5:30	6:07
5:50	6:27
5:50	6:32
6:10	6:47
6:20	6:57
6:27	7:09
6:27	7:09
6:44	7:26
6:50	7:27
7:00	7:37
7:02	7:44
7:10	7:47
7:08	7:57
7:20	8:02
7:30	8:07
7:35	8:17
7:40	8:17
7:50	8:27
7:50	8:32
8:00	8:37
8:10	8:52
8:12	8:52
8:25	9:02
8:35	9:17
8:45	9:22
8:55	9:37
9:15	9:51
9:34	10:16
10:00	10:36
10:45	11:21
11:45	12:21
12:45	1:21
1:45	2:21
2:12	2:52
2:45	3:45
3:12	3:52
3:45	4:21
4:12	4:52
4:45	5:21
5:12	5:52
5:45	6:21
6:45	7:20
7:49	8:20
8:45	9:20
9:45	10:20
10:45	11:20

#33 NYC->Mtc Weekdays
NYC	MTC
6:45	7:19
7:30	8:04
8:15	8:49
8:45	9:24
9:15	9:49
10:00	10:35
11:00	11:35
12:00	12:35
1:00	1:35
2:00	2:35
2:45	3:24
3:15	3:50
3:15	3:50
3:50	4:29
4:15	4:50
4:15	4:50
4:40	5:19
4:55	5:30
5:00	5:35
5:15	5:50
5:20	5:55
5:35	6:10
5:35	6:10
5:55	6:34
5:55	6:30
6:15	6:50
6:15	6:50
6:25	7:04
6:35	7:10
6:35	7:10
6:55	7:30
7:00	7:39
7:15	7:50
7:15	7:50
7:35	8:10
7:35	8:10
8:00	8:39
8:00	8:35
8:30	9:05
8:30	9:05
9:00	9:39
9:30	10:05
9:30	10:05
10:!5	11:10
10:45	11:20
11:45	12:20
12:45	1:20

#33 MTC-> NYC Weekends
MTC	NYC
6:45	7:25
7:45	8:25
8:45	9:25
9:45	10:25
10:45	11:25
11:45	12:25
12:45	1:25
1:45	2:25
2:45	3:25
3:45	4:25
4:45	5:25
5:45	6:25
6:45	7:30
7:45	8:20
8:45	9:20
9:45	10:20
10:45	11:20
12:00	12:31

#33 NYC -> MTC Weekends
NYC	MTC
8:00	8:35
9:00	9:35
10:00	10:35
11:00	11:35
12:01	12:35
1:00	1:35
2:00	2:35
3:00	3:35
4:00	4:35
5:00	5:35
6:00	6:35
7:00	7:35
7:45	8:19
8:30	8:59
9:30	9:59
10:45	11:14
11:45	12:16
12:45	1:14

