#66 MTC->NYC Weekday
MTC	NYC
5:55AM	6:43AM
6:15AM	7:03AM
6:35AM	7:23AM
6:55AM	7:43AM
7:15AM	8:03AM
7:35AM	8:23AM
7:55AM	8:43AM
8:20AM	9:02AM
8::40AM	9:28AM
9:00AM	9:48AM
10:10AM	10:55AM
10:30AM	11:15AM
11:30AM	12:!5PM
12:30PM	1:15PM
1:00PM	1:45PM
1:30PM	2:15PM
2:00PM	2:45PM
2:30PM	3:15PM
3:00PM	3:45PM
3:30PM	4:15PM
4:00PM	4:45PM
5:00PM	5:48PM
5:35PM	6:30PM
6:30PM	7:20PM
7:30PM	8:!5PM
8:30PM	9:!5PM
9:30PM	10:15PM
11:50PM	12:32PM


#66 NYC->MTC Weekday
NYC	MTC
7:00AM	7:40AM
7:15AM	7:55AM
8:00AM	8:40AM
8:30AM	9:05AM
9:00AM	9:40AM
9:30AM	10:05AM
10:00AM	10:40AM
10:30AM	11:05AM
11:30AM	12:05PM
12:30PM	1:05PM
1:30PM	2:05PM
2:00PM	2:40PM
2:30PM	3:05PM
3:00PM	3:40PM
3:30PM	4:05PM
4:00PM	4:40PM
4:30PM	5:05PM
5:00PM	5:40PM
5:25PM	6:05PM
5:55PM	6:35PM
6:10PM	6:50PM
6:25PM	7:05PM
6:40PM	7:20PM
6:55PM	7:35PM
7:10PM	7:45PM
7:30PM	8:05PM
8:30PM	9:05PM
9:00PM	9:35PM
10:15PM	10:50PM
10:45PM	11:20PM
12:00AM	12:35AM

#66 MTC->NYC Weekend
MTC	NYC
7:30AM	8:06AM
8:30AM	9:06AM
9:30AM	10:06AM
10:30AM	11:06AM
11:30AM	12:06PM
12:30PM	1:06PM
1:30PM	2:06PM
2:30PM	3:06PM
3:30PM	4:06PM
4:30PM	5:06PM
5:30PM	6:06PM
6:30PM	7:06PM
7::30PM	8:06PM
8:30PM	9:06PM
9:30PM	10:06PM
10:30PM	11:06PM
11:50PM	12:26AM

#66 NYC->MTC Weekend
NYC	MTC
8:30AM	9:00AM
9:30AM	10:00AM
10:30AM	11:00AM
11:30AM	12:00AM
12:30PM	1:00PM
1:30PM	2:00PM
2:30PM	3:00PM
3:30PM	4:00PM
4:30PM	5:00PM
5:30PM	6:00PM
7:30PM	8:00PM
8:30PM	9:00PM
9:30PM	10:00PM
10:45PM	11:15PM
11:45PM	12:15AM
12:45AM	1:15AM

