NYC_P/A Bus Terminal,1 NA
32 UNION CITY: 32nd & Bergenline Ave,32
32 SECAUCUS: Secaucus Plaza,32
32 LYNDHURST: Valley Brook Ave & Ridge Rd,32
32 NUTLEY: Park Ave & River Rd,32
32 NUTLEY: Franklin & Centre St.,32
32 NUTLEY: Darling Ave & Kingsland Rd,32
33 NUTLEY: Darling & Kingsland (E),33
33 BLOOMFIELD: Broad & Liberty (E),33
33 MONTCLAIR: Gates & Bloomfield (E),33
33 VERONA: Lakeside Ave (E),33
33 W. CALDWELL: Kirkpatrick Lane (E),33
44 LYNDHURST: Ridge Rd & Valley Brook (E),44
44 Nutley Park Ave & Washington Ave (E),44
44 N.ARLINGTON: Harding & Ridge (E),44
44 N.ARLINGTON Ross Lane & Bell Tnpk (E),44
44 KEARNY: Bergen Ave. & Kearny Ave,44
44 HARRISON: F. Rodgers Blvd. & Cleveland Ave.,44
44 BELLEVILLE: Washington & Rutgers (E),44
44 N.NEWARK: Heller Pky & Clifton Ave.,44
44 BLOOMFIELD: Montgomery & Franklin (E),44
66 MONTCLAIR University Campus Bus Stop,66
66 CLIFTON: Haddonfield & Grove St.,66
66 UPPER_MTC: Bellevue Plaza,66
66 UPPER_MNCL: Watchung Plaza,66
66 MONTCLAIR: YMCA on Park,66
66 W.ORANGE Mississippi & Harrison,66
66 W.ORANGE Eagle Rock Avenue & Prospect,66
66 W.ORANGE Pleasantdale Ctr.,66
66 ROSELAND Center Hudson City Savings Bank,66
66 W.CALDWELL KirkPatrick Lane,66
88 NUTLEY: W. Passaic & Darling Ave,88
88 BLOOMFIELD: Broad & Liberty (E),88
88 BLOOMFIELD: Prospect St & Dodd St,88
88 E.Orange: Prospect & Williams St.,88
88 ORANGE: Scotland & Central (E),88
99 LYNDHURST: Ridge Rd & Valley Brook (E),99
99 Nutley Park Ave & Washington Ave (E),99
99 N.ARLINGTON: Harding & Ridge (E),99
99 N.ARLINGTON Ross Lane & Bell Tnpk (E),99
99 KEARNY: Bergen Ave. & Kearny Ave,99
99 HARRISON: F. Rodgers Blvd. & Cleveland Ave.,99
